open_time,open,high,low,close
2026-02-13 09:57:00,66948.49,66984.36,66923.32,66959.71
2026-02-13 10:00:00,66959.72,66965.74,66877.37,66916.08
2026-02-13 10:03:00,66916.09,66930,66832,66832.01
2026-02-13 10:06:00,66832.01,66902.61,66829.14,66833.55
2026-02-13 10:09:00,66833.55,66907.14,66824.8,66907.14
2026-02-13 10:12:00,66907.13,66910.67,66844.67,66905.43
2026-02-13 10:15:00,66905.43,66966.38,66888.07,66960.22
2026-02-13 10:18:00,66960.23,67099.97,66920,66925.49
2026-02-13 10:21:00,66925.49,66925.49,66830.64,66832.34
2026-02-13 10:24:00,66832.35,66878.2,66800,66876.61
2026-02-13 10:27:00,66876.62,66920,66864.32,66911.7
2026-02-13 10:30:00,66911.7,66944.44,66840.39,66857
2026-02-13 10:33:00,66857,67022.57,66856.99,67000
2026-02-13 10:36:00,67000,67054.34,66952.08,67005.12
2026-02-13 10:39:00,67005.11,67057.22,66947.41,67050.52
2026-02-13 10:42:00,67050.52,67116,67010.98,67029.95
2026-02-13 10:45:00,67029.95,67053.26,66970.73,67037.19
2026-02-13 10:48:00,67037.19,67037.19,66971.06,67003.9
2026-02-13 10:51:00,67003.9,67095.63,66983.72,67085.18
2026-02-13 10:54:00,67085.19,67085.19,67010.06,67010.07
2026-02-13 10:57:00,67010.07,67044.93,66976.24,66977.66
2026-02-13 11:00:00,66977.66,66990,66855.96,66895.43
2026-02-13 11:03:00,66895.44,66977.52,66859.38,66958.8
2026-02-13 11:06:00,66958.8,67031.03,66898,66898.01
2026-02-13 11:09:00,66898.01,66933.54,66850.21,66868.15
2026-02-13 11:12:00,66868.14,66895.57,66847.26,66889.36
2026-02-13 11:15:00,66889.35,66932.23,66885.07,66890.92
2026-02-13 11:18:00,66890.92,66970.15,66867.98,66949.37
2026-02-13 11:21:00,66949.36,66958.08,66888,66920
2026-02-13 11:24:00,66920,66964.72,66882.62,66964.71
2026-02-13 11:27:00,66964.71,67013.73,66950,66982.6
2026-02-13 11:30:00,66982.6,67007.85,66799.75,66801.83
2026-02-13 11:33:00,66801.83,66902.14,66783.38,66900.95
2026-02-13 11:36:00,66899.48,67000,66869.6,66977.43
2026-02-13 11:39:00,66977.44,66979.09,66921.12,66979.08
2026-02-13 11:42:00,66979.09,67025,66956,66997.1
2026-02-13 11:45:00,66997.1,67050,66965.46,67029.29
2026-02-13 11:48:00,67029.29,67042.11,66971.75,67026.08
2026-02-13 11:51:00,67026.07,67068.17,67000,67060.81
2026-02-13 11:54:00,67060.81,67199.33,67027.99,67191.12
2026-02-13 11:57:00,67191.13,67226.66,67160.39,67171.42
2026-02-13 12:00:00,67171.41,67177.2,67096,67117.54
2026-02-13 12:03:00,67117.53,67117.53,66941.86,66977.04
2026-02-13 12:06:00,66977.05,67040.4,66956.48,67015.2
2026-02-13 12:09:00,67015.2,67050.53,67001.31,67001.32
2026-02-13 12:12:00,67001.31,67082.9,66979.95,66985.84
2026-02-13 12:15:00,66985.84,66986.33,66918.38,66953.18
2026-02-13 12:18:00,66953.18,67073.96,66953.18,67051.06
2026-02-13 12:21:00,67051.06,67073.64,66991.68,67030.91
2026-02-13 12:24:00,67030.91,67112.38,66998.15,67057
2026-02-13 12:27:00,67056.99,67124,67056.99,67097.17
2026-02-13 12:30:00,67097.17,67105.26,67051.2,67080.91
2026-02-13 12:33:00,67080.9,67113.34,67034.24,67081.61
2026-02-13 12:36:00,67081.62,67133.99,67044.62,67126.14
2026-02-13 12:39:00,67126.13,67126.14,67067.33,67115.65
2026-02-13 12:42:00,67115.65,67127.35,67056.48,67094.03
2026-02-13 12:45:00,67094.03,67110,67058.68,67058.69
2026-02-13 12:48:00,67058.68,67121.74,67006.23,67075.05
2026-02-13 12:51:00,67075.05,67170,67040.82,67170
2026-02-13 12:54:00,67170,67212.28,67164,67164
2026-02-13 12:57:00,67164.01,67164.01,67060.4,67084
2026-02-13 13:00:00,67084.01,67173.4,67071.24,67152.98
2026-02-13 13:03:00,67152.99,67187.47,67118.49,67118.49
2026-02-13 13:06:00,67118.22,67126.22,66938,66978.24
2026-02-13 13:09:00,66978.24,67013.84,66952,66976.01
2026-02-13 13:12:00,66976,67015.6,66942.64,66969.46
2026-02-13 13:15:00,66969.47,67094.84,66969.46,67094.83
2026-02-13 13:18:00,67094.84,67116.65,67063.71,67082.46
2026-02-13 13:21:00,67082.47,67145.01,67016.22,67145
2026-02-13 13:24:00,67145.01,67380.67,67137.23,67317.18
2026-02-13 13:27:00,67317.18,67420,67280.5,67337.21
2026-02-13 13:30:00,67337.21,67615.34,67310.49,67392.43
2026-02-13 13:33:00,67392.44,67575.02,67354.36,67464.75
2026-02-13 13:36:00,67464.76,67464.76,67269.1,67277.96
2026-02-13 13:39:00,67277.97,67360.46,67207.51,67343.4
2026-02-13 13:42:00,67343.41,67393.96,67243.22,67301.39
2026-02-13 13:45:00,67301.28,67351.86,67145.25,67165.41
2026-02-13 13:48:00,67165.42,67352.58,67105.48,67294.82
2026-02-13 13:51:00,67294.82,67415.79,67294.82,67384
2026-02-13 13:54:00,67384.01,67420.38,67346,67346.01
2026-02-13 13:57:00,67346.01,67365.65,67264.71,67274.15
2026-02-13 14:00:00,67274.14,67310.61,67231.63,67272.35
2026-02-13 14:03:00,67272.36,67292.19,67137.93,67189.05
2026-02-13 14:06:00,67189.04,67229.31,67130,67212.55
2026-02-13 14:09:00,67214.69,67307.56,67214.69,67283.44
2026-02-13 14:12:00,67283.44,67283.44,67150.27,67164.48
2026-02-13 14:15:00,67164.48,67332.47,67164.47,67332.47
2026-02-13 14:18:00,67332.46,67365.7,67303.27,67322.84
2026-02-13 14:21:00,67322.85,67336.27,67249.1,67269.91
2026-02-13 14:24:00,67269.91,67269.91,67200,67221.24
2026-02-13 14:27:00,67221.24,67399.99,67221.24,67311.84
2026-02-13 14:30:00,67311.85,67460,67204.32,67434.99
2026-02-13 14:33:00,67435.11,67600,67300.62,67584.89
2026-02-13 14:36:00,67581.26,67584,67300,67579.99
2026-02-13 14:39:00,67579.99,67580,66884,66900
2026-02-13 14:42:00,66900,67331.47,66867.47,67331.47
2026-02-13 14:45:00,67331.48,67828,67331.48,67827.99
2026-02-13 14:48:00,67828,68028.45,67611.68,67803.21
2026-02-13 14:51:00,67803.21,67946,67665.43,67717.99
2026-02-13 14:54:00,67717.99,67867.83,67625.27,67639.11
2026-02-13 14:57:00,67639.11,67754,67631.22,67733.51
2026-02-13 15:00:00,67733.51,68054.48,67710.09,68027.53
2026-02-13 15:03:00,68027.46,68063.63,67698,67727.6
2026-02-13 15:06:00,67727.59,67936,67692,67930.71
2026-02-13 15:09:00,67930.71,68512.47,67922.32,68512.47
2026-02-13 15:12:00,68512.46,68598,68327.97,68382
2026-02-13 15:15:00,68382.01,68578.9,68226,68257.63
2026-02-13 15:18:00,68256.01,68370,68188,68369.99
2026-02-13 15:21:00,68369.99,68369.99,68129.74,68293.94
2026-02-13 15:24:00,68293.94,68729.55,68212,68729.54
2026-02-13 15:27:00,68729.54,68899.93,68641.7,68895.88
2026-02-13 15:30:00,68895.88,69133.08,68875.99,69123.32
2026-02-13 15:33:00,69123.32,69237.59,68952.71,69169.42
2026-02-13 15:36:00,69169.43,69309.8,68989.32,69050.52
2026-02-13 15:39:00,69051.1,69060,68812.5,68927.99
2026-02-13 15:42:00,68927.98,69001.17,68718.02,68730.01
2026-02-13 15:45:00,68730.01,68800,68463.72,68500.76
2026-02-13 15:48:00,68500.76,68668.52,68379.9,68631.07
2026-02-13 15:51:00,68631.07,68725.51,68588.1,68634.45
2026-02-13 15:54:00,68634.45,68700,68500,68500.01
2026-02-13 15:57:00,68500,68716.82,68468,68692.12
2026-02-13 16:00:00,68692.12,68796.78,68563.6,68589.11
2026-02-13 16:03:00,68589.11,68876,68540.83,68875.99
2026-02-13 16:06:00,68876,69141.99,68868.02,69108.67
2026-02-13 16:09:00,69108.68,69163.97,68906.49,68956.88
2026-02-13 16:12:00,68956.88,69063.59,68816.96,69052.64
2026-02-13 16:15:00,69052.64,69137.5,68982.35,69137.5
2026-02-13 16:18:00,69137.5,69165.11,68903.2,68903.2
2026-02-13 16:21:00,68903.2,68945.24,68842.15,68842.15
2026-02-13 16:24:00,68842.16,69079.39,68831.37,69076.63
2026-02-13 16:27:00,69076.63,69125,68975.41,69079.39
2026-02-13 16:30:00,69079.39,69482.97,68983.29,69358.17
2026-02-13 16:33:00,69358.18,69440,69137.4,69203.13
2026-02-13 16:36:00,69203.13,69338,69180.6,69338
2026-02-13 16:39:00,69338,69372.96,69263.53,69302.83
2026-02-13 16:42:00,69302.83,69322,69211.68,69244.96
2026-02-13 16:45:00,69244.96,69259.7,69104.89,69211.5
2026-02-13 16:48:00,69211.5,69215.85,68998,69093.84
