open_time,open,high,low,close
2026-02-04 18:45:00,4938.97,4949.25,4929.51,4945.3
2026-02-04 19:00:00,4945.05,4964.4,4934.94,4964.4
2026-02-04 19:15:00,4964.4,4968.05,4938.35,4951.2
2026-02-04 19:30:00,4951.06,4963.29,4947.8,4961.1
2026-02-04 19:45:00,4961.14,4974.93,4951.41,4961.4
2026-02-04 20:00:00,4961.84,4965.76,4943.16,4953
2026-02-04 20:15:00,4953.15,4956.83,4939.07,4940.34
2026-02-04 20:30:00,4940.78,4967.93,4932.9,4961.7
2026-02-04 20:45:00,4961.4,4968.59,4955.35,4957.97
2026-02-04 21:00:00,4958.02,4971.5,4958.02,4971.5
2026-02-04 21:15:00,4971.53,4978.45,4966.75,4978.04
2026-02-04 21:30:00,4978.04,4987.99,4973.88,4981.3
2026-02-04 21:45:00,4981.15,4986.29,4977.05,4983.91
2026-02-04 22:00:00,4983.9,4983.9,4972.7,4980.78
2026-02-04 22:15:00,4980.78,4995.35,4980.78,4995.14
2026-02-04 22:30:00,4995.14,5000,4992.28,4993.72
2026-02-04 22:45:00,4993.72,4994.85,4979.48,4981.89
2026-02-04 23:00:00,4981.89,5029.74,4981.89,5029.74
2026-02-04 23:15:00,5029.75,5044.74,5020.81,5039.82
2026-02-04 23:30:00,5039.51,5046.03,5029.53,5042.64
2026-02-04 23:45:00,5042.8,5045.85,5027.4,5030.9
2026-02-05 00:00:00,5030.99,5039.36,5017.01,5017.45
2026-02-05 00:15:00,5017.02,5038.79,5016.74,5035.95
2026-02-05 00:30:00,5035.96,5041.06,5029.49,5041.06
2026-02-05 00:45:00,5041.06,5044.04,5025.04,5028.1
2026-02-05 01:00:00,5028.1,5031.6,4985.87,4986.94
2026-02-05 01:15:00,4987.16,4991.58,4954.32,4969.32
2026-02-05 01:30:00,4969.86,5000.73,4969.86,4995.96
2026-02-05 01:45:00,4995.63,5001.98,4974.46,4974.46
2026-02-05 02:00:00,4974.48,4977.3,4923.77,4931.09
2026-02-05 02:15:00,4931.69,4957.62,4914.36,4954.05
2026-02-05 02:30:00,4953.9,4956.16,4913.36,4913.68
2026-02-05 02:45:00,4914.27,4916.87,4826.16,4830.54
2026-02-05 03:00:00,4830.53,4875.17,4810.14,4863.59
2026-02-05 03:15:00,4863.35,4901.75,4850.89,4874.83
2026-02-05 03:30:00,4874.4,4892.82,4855.27,4882.19
2026-02-05 03:45:00,4882.19,4899.75,4868.79,4895.08
2026-02-05 04:00:00,4894.33,4898.93,4878.61,4890.81
2026-02-05 04:15:00,4890.81,4906.88,4887.02,4902.29
2026-02-05 04:30:00,4902.29,4902.89,4886.16,4901.39
2026-02-05 04:45:00,4901.4,4903.5,4879.21,4879.21
2026-02-05 05:00:00,4879.2,4889.4,4863.76,4867.09
2026-02-05 05:15:00,4867.1,4884.3,4854.21,4882.85
2026-02-05 05:30:00,4882.81,4898.57,4841.34,4898.39
2026-02-05 05:45:00,4898.1,4918.34,4898.1,4908.3
2026-02-05 06:00:00,4908.59,4932.09,4892.84,4922.4
2026-02-05 06:15:00,4922.66,4940.98,4914.01,4940.98
2026-02-05 06:30:00,4940.98,4947.1,4923.61,4943.92
2026-02-05 06:45:00,4943.65,4946.99,4914.58,4935.51
2026-02-05 07:00:00,4935.15,4946.03,4931.4,4937.29
2026-02-05 07:15:00,4937.86,4955,4928.59,4949.4
2026-02-05 07:30:00,4949.4,4949.88,4915.01,4927.34
2026-02-05 07:45:00,4927.15,4936.94,4924.96,4931.81
2026-02-05 08:00:00,4932.15,4957.79,4929.69,4955.99
2026-02-05 08:15:00,4956,4958.82,4938.76,4939.7
2026-02-05 08:30:00,4939.71,4946.71,4936.81,4942.19
2026-02-05 08:45:00,4941.75,4941.75,4921.43,4934.6
2026-02-05 09:00:00,4934.62,4936.19,4886.41,4886.41
2026-02-05 09:15:00,4886.4,4906.24,4876.43,4892.52
2026-02-05 09:30:00,4893.13,4910,4893.13,4909.4
2026-02-05 09:45:00,4909.4,4912.64,4872.86,4877.12
2026-02-05 10:00:00,4876.8,4891.89,4869.99,4890.55
2026-02-05 10:15:00,4890.55,4894.54,4867.2,4879.14
2026-02-05 10:30:00,4879.2,4893.65,4870.21,4891.68
2026-02-05 10:45:00,4891.68,4901.66,4883.06,4891.19
2026-02-05 11:00:00,4891.19,4901.66,4891.19,4901.27
2026-02-05 11:15:00,4901.27,4907.34,4892.37,4904.58
2026-02-05 11:30:00,4905.05,4906,4886.34,4887.21
2026-02-05 11:45:00,4887.31,4901.59,4881.27,4883.62
2026-02-05 12:00:00,4883.55,4894.1,4853.48,4857.41
2026-02-05 12:15:00,4857.17,4862.42,4826.11,4861
2026-02-05 12:30:00,4861,4882.75,4855.81,4862.63
2026-02-05 12:45:00,4862.64,4881.74,4858.27,4870
2026-02-05 13:00:00,4870.09,4870.83,4817.71,4841.4
2026-02-05 13:15:00,4841.78,4879,4841.78,4866.66
2026-02-05 13:30:00,4866.67,4884.22,4840.8,4842.08
2026-02-05 13:45:00,4842.17,4862.63,4838.55,4850.9
2026-02-05 14:00:00,4851.23,4866.03,4830.2,4831.87
2026-02-05 14:15:00,4832.09,4855.19,4828.95,4852.95
2026-02-05 14:30:00,4853.1,4882.67,4825.86,4878.25
2026-02-05 14:45:00,4877.17,4887.24,4856.71,4862.71
2026-02-05 15:00:00,4862.4,4880,4838.48,4843.85
2026-02-05 15:15:00,4843.86,4861.68,4828.25,4833.34
2026-02-05 15:30:00,4833.09,4852.24,4824.7,4826.69
2026-02-05 15:45:00,4827.33,4839,4814.03,4831.2
2026-02-05 16:00:00,4830.75,4852.78,4826.31,4835.4
2026-02-05 16:15:00,4835.29,4870.99,4831.83,4865.73
2026-02-05 16:30:00,4865.36,4895.72,4861.12,4892.62
2026-02-05 16:45:00,4892.63,4921.41,4880,4903.2
2026-02-05 17:00:00,4902.88,4904.97,4880.01,4889.39
2026-02-05 17:15:00,4889.39,4892.59,4874.65,4881.89
2026-02-05 17:30:00,4882.49,4892,4873.19,4884.59
2026-02-05 17:45:00,4884.9,4898.94,4878.15,4881.48
2026-02-05 18:00:00,4881.9,4888.66,4869.09,4875
2026-02-05 18:15:00,4875,4887.5,4861.66,4882.08
2026-02-05 18:30:00,4882.19,4885.1,4866.66,4882.17
2026-02-05 18:45:00,4881.7,4885.15,4868.15,4873.2
2026-02-05 19:00:00,4873.35,4880.17,4860.4,4866.85
2026-02-05 19:15:00,4866.39,4874.27,4863.36,4865.5
2026-02-05 19:30:00,4865.41,4868.69,4844.11,4852.92
2026-02-05 19:45:00,4852.92,4857.29,4838.76,4843.8
2026-02-05 20:00:00,4843.8,4854.81,4829.58,4844.86
2026-02-05 20:15:00,4844.86,4845.65,4820.86,4835.2
2026-02-05 20:30:00,4835.2,4841.29,4815.45,4823.69
2026-02-05 20:45:00,4823.69,4826.89,4804.12,4821.45
2026-02-05 21:00:00,4821.44,4836.57,4814.01,4819.05
2026-02-05 21:15:00,4819.06,4821.28,4802.93,4810.45
2026-02-05 21:30:00,4810.53,4812.59,4770.71,4773.56
2026-02-05 21:45:00,4773.45,4786.58,4763.71,4783.82
2026-02-05 22:00:00,4783.82,4792.29,4774.21,4784.49
2026-02-05 22:15:00,4784.55,4786.98,4769.73,4784.45
2026-02-05 22:30:00,4784.46,4789.08,4777.51,4782.67
2026-02-05 22:45:00,4782.67,4788.99,4774.88,4782.01
2026-02-05 23:00:00,4782.01,4794.41,4767.24,4775.68
2026-02-05 23:15:00,4776.14,4780.8,4753.21,4757.33
2026-02-05 23:30:00,4757.33,4760.35,4730,4741.26
2026-02-05 23:45:00,4741.26,4744.15,4697.54,4699.98
2026-02-06 00:00:00,4699.97,4700.85,4663.91,4665.29
2026-02-06 00:15:00,4665.3,4706.03,4600.84,4703.79
2026-02-06 00:30:00,4703.79,4751.39,4694.03,4748.84
2026-02-06 00:45:00,4748.47,4761.13,4732.52,4755.34
2026-02-06 01:00:00,4755.34,4757.99,4688.73,4743.78
2026-02-06 01:15:00,4743.34,4757.47,4703.45,4711.42
2026-02-06 01:30:00,4711.56,4743.37,4705,4738.9
2026-02-06 01:45:00,4738.27,4778.94,4734.17,4767.31
2026-02-06 02:00:00,4767.61,4786.98,4754.71,4778.65
2026-02-06 02:15:00,4778.41,4809,4773.49,4808.39
2026-02-06 02:30:00,4808.39,4836.26,4800.27,4818.4
2026-02-06 02:45:00,4817.95,4823.15,4800.76,4803.65
2026-02-06 03:00:00,4803.67,4825,4796.14,4799.41
2026-02-06 03:15:00,4799.4,4814.39,4788,4798.23
2026-02-06 03:30:00,4798.24,4810.3,4785.91,4790.26
2026-02-06 03:45:00,4790.09,4810.29,4790.09,4809.81
2026-02-06 04:00:00,4809.81,4812.64,4800.97,4805.73
2026-02-06 04:15:00,4805.74,4815.9,4795.43,4814.74
2026-02-06 04:30:00,4814.75,4821.12,4809.28,4810.73
2026-02-06 04:45:00,4810.74,4811.81,4799.95,4802.67
2026-02-06 05:00:00,4802.67,4825.28,4797.44,4822.89
2026-02-06 05:15:00,4822.89,4849.95,4817.8,4849.4
2026-02-06 05:30:00,4849.4,4869.78,4838.11,4865.99
2026-02-06 05:45:00,4865.99,4898.24,4863.09,4898.24
2026-02-06 06:00:00,4898.38,4902.76,4865.68,4865.9
2026-02-06 06:15:00,4865.9,4871.69,4851.34,4857.66
2026-02-06 06:30:00,4857.66,4866.52,4840.7,4847.07
2026-02-06 06:45:00,4847.67,4856.2,4828.66,4845.84
2026-02-06 07:00:00,4845.85,4853.88,4838.88,4851.62
2026-02-06 07:15:00,4851.19,4863.59,4845.3,4860.13
2026-02-06 07:30:00,4860.13,4861.92,4849.93,4858.8
2026-02-06 07:45:00,4858.8,4858.8,4843.07,4843.98
2026-02-06 08:00:00,4843.98,4856.44,4832.09,4854.08
2026-02-06 08:15:00,4854.07,4876,4852.65,4870.56
2026-02-06 08:30:00,4870.55,4882.89,4859.63,4864.71
2026-02-06 08:45:00,4864.71,4868.61,4856.73,4865.4
2026-02-06 09:00:00,4865.39,4872.94,4845.99,4847.21
2026-02-06 09:15:00,4847.04,4870.11,4845.36,4867.99
2026-02-06 09:30:00,4867.62,4876.87,4863.06,4863.07
2026-02-06 09:45:00,4863,4874.42,4861.74,4871.25
2026-02-06 10:00:00,4871.25,4881.26,4870.06,4874.34
2026-02-06 10:15:00,4874.34,4879.8,4856.66,4859.11
2026-02-06 10:30:00,4859.19,4879.51,4858.11,4879.25
2026-02-06 10:45:00,4879.25,4884,4873.36,4883.99
2026-02-06 11:00:00,4884,4891.56,4870.2,4887.3
2026-02-06 11:15:00,4887.37,4898.05,4882.99,4892.52
2026-02-06 11:30:00,4892.66,4898.21,4885.5,4890.6
2026-02-06 11:45:00,4890.82,4901.14,4887.91,4894.28
2026-02-06 12:00:00,4894.28,4907.75,4891,4900.7
2026-02-06 12:15:00,4900.7,4901.25,4878.61,4883.56
2026-02-06 12:30:00,4883.95,4896.6,4883.76,4895.94
2026-02-06 12:45:00,4895.55,4904.77,4895.18,4903.32
2026-02-06 13:00:00,4903.31,4926.51,4901.65,4916.93
2026-02-06 13:15:00,4916.26,4933.33,4911.67,4914.96
2026-02-06 13:30:00,4914.99,4939.57,4914.99,4935.23
2026-02-06 13:45:00,4935.2,4937.09,4926.34,4931.54
2026-02-06 14:00:00,4931.55,4934.66,4908.4,4921.81
2026-02-06 14:15:00,4921.81,4926.52,4894.49,4906.03
2026-02-06 14:30:00,4905.89,4945.64,4900.21,4933.43
2026-02-06 14:45:00,4933.54,4949.85,4928.56,4949.23
2026-02-06 15:00:00,4949.23,4963.96,4939.8,4950
2026-02-06 15:15:00,4950,4961.99,4939.02,4958.76
2026-02-06 15:30:00,4958.76,4963.14,4945,4947.85
2026-02-06 15:45:00,4947.85,4952.21,4933.5,4946.45
2026-02-06 16:00:00,4946.33,4954.99,4940.37,4944.58
2026-02-06 16:15:00,4944.45,4949.28,4927.15,4941.15
2026-02-06 16:30:00,4941.15,4949.39,4931.8,4942.2
2026-02-06 16:45:00,4942.19,4953.16,4939.79,4951.05
2026-02-06 17:00:00,4951.25,4959.99,4949.43,4957.02
2026-02-06 17:15:00,4957.02,4958.39,4951.56,4953.15
2026-02-06 17:30:00,4953.15,4966.1,4946.26,4950.76
2026-02-06 17:45:00,4950.75,4963.75,4950.48,4958.56
2026-02-06 18:00:00,4958.56,4966.82,4954.29,4962.76
2026-02-06 18:15:00,4963,4963.75,4941.18,4952.63
2026-02-06 18:30:00,4952.62,4963.18,4948.49,4961.94
2026-02-06 18:45:00,4961.93,4966.18,4957.91,4959.01
2026-02-06 19:00:00,4959.3,4961.4,4950.71,4957.2
2026-02-06 19:15:00,4957.15,4961.61,4954.02,4955.05
2026-02-06 19:30:00,4955.02,4955.02,4943.67,4948.8
2026-02-06 19:45:00,4948.75,4959.85,4948.75,4954.93
2026-02-06 20:00:00,4954.8,4956.14,4948.21,4949.15
2026-02-06 20:15:00,4949.15,4953.38,4940.81,4951.54
2026-02-06 20:30:00,4951.53,4951.53,4937.06,4940.4
2026-02-06 20:45:00,4940.41,4949.07,4938.6,4947
2026-02-06 21:00:00,4947.01,4952.55,4941.3,4944.29
2026-02-06 21:15:00,4944.29,4955.04,4941.52,4952.22
2026-02-06 21:30:00,4952.23,4962,4951.2,4960.05
2026-02-06 21:45:00,4959.96,4963.85,4957.95,4962.34
2026-02-06 22:00:00,4962.01,4970,4958.83,4960.27
2026-02-06 22:15:00,4960.1,4968.29,4958.07,4966.01
2026-02-06 22:30:00,4966.34,4969.43,4957.06,4958.36
2026-02-06 22:45:00,4958.36,4963.78,4957.36,4961.82
2026-02-06 23:00:00,4961.76,4965.66,4954.48,4954.48
2026-02-06 23:15:00,4954.31,4956.88,4949.16,4954.22
2026-02-06 23:30:00,4954.23,4956.97,4946.26,4947.54
2026-02-06 23:45:00,4947.05,4947.05,4939.91,4942.27
2026-02-07 00:00:00,4942.28,4944.25,4929.89,4935.45
2026-02-07 00:15:00,4935.39,4939.19,4931.6,4933.92
2026-02-07 00:30:00,4933.93,4934.53,4926.39,4933.1
2026-02-07 00:45:00,4933.1,4936.7,4930.28,4931.31
2026-02-07 01:00:00,4931.31,4935.13,4930.71,4931.81
2026-02-07 01:15:00,4931.81,4936.71,4924.26,4929.59
2026-02-07 01:30:00,4929.59,4937.4,4929.58,4934.98
2026-02-07 01:45:00,4934.98,4942.74,4934.98,4940.39
2026-02-07 02:00:00,4940.39,4940.39,4937,4937.85
2026-02-07 02:15:00,4937.85,4941.4,4933.4,4941.4
2026-02-07 02:30:00,4941.39,4942.78,4939.81,4940.4
2026-02-07 02:45:00,4940.39,4941.49,4939.14,4941.49
2026-02-07 03:00:00,4941.48,4942,4936.35,4937.91
2026-02-07 03:15:00,4937.9,4941.86,4935.58,4936.8
2026-02-07 03:30:00,4936.8,4936.8,4928.8,4930.99
2026-02-07 03:45:00,4930.99,4934.39,4928.81,4931.39
2026-02-07 04:00:00,4931.39,4937.39,4928.46,4937.09
2026-02-07 04:15:00,4937.09,4943.01,4937.09,4939.37
2026-02-07 04:30:00,4939.37,4940.47,4933.81,4933.82
2026-02-07 04:45:00,4933.81,4938.37,4933.3,4934.92
2026-02-07 05:00:00,4934.93,4939.99,4934.92,4937.01
2026-02-07 05:15:00,4937.02,4939.02,4932.49,4932.95
2026-02-07 05:30:00,4932.86,4935.29,4931.59,4933.23
