"S.No.","Name","CMP Rs.","P/E","Mar Cap Rs.Cr.","Div Yld %","NP Qtr Rs.Cr.","Qtr Profit Var %","Sales Qtr Rs.Cr.","Qtr Sales Var %","ROCE %","Prom. Hold. %","Payout ratio %","CMP / BV","Ind PBV","Debt / Eq","ROE %","EPS 12M Rs.","ROE 3Yr %","ROCE 3Yr %"
"237.","Ceigall India","265.90","17.83","4632.12","0.00","72.38","1.24","991.14","19.34","19.38","82.06","0.00","2.38","1.83","0.69","20.87","14.89","28.53","25.30"
"238.","Shree Ganesh Rem","467.20","33.11","599.77","0.00","3.10","-42.91","21.11","-21.96","19.21","72.80","0.00","3.92","3.02","0.24","17.01","14.11","21.07","23.11"
"239.","Titan Company","3851.80","70.06","341957.45","0.27","1684.00","71.73","25416.00","43.27","19.14","52.90","29.34","26.76","2.86","0.97","31.75","53.68","31.80","22.31"
"240.","Aditya Vision","459.40","52.82","5932.60","0.25","27.31","17.46","648.86","27.62","19.13","47.14","13.42","9.29","3.97","0.65","20.26","8.63","26.34","22.04"
"241.","Safari Inds.","1501.00","43.85","7353.99","0.20","32.89","5.62","512.37","15.73","18.67","44.70","10.27","7.04","1.95","0.11","15.79","34.31","23.44","29.06"
"242.","Platinum Industr","189.55","23.87","1041.05","0.00","12.33","7.90","104.67","11.99","18.55","70.03","0.00","2.54","2.41","0.07","14.00","7.87","22.05","40.15"
"243.","Control Print","605.00","10.00","967.65","1.66","5.26","-36.40","118.84","15.00","18.46","52.98","15.98","2.16","2.96","0.02","26.86","61.78","21.53","21.68"
"244.","Kewal Kir.Cloth.","423.00","18.68","2606.74","0.48","37.91","38.86","301.12","18.01","18.19","74.27","8.53","2.81","2.45","0.18","15.46","22.63","20.34","25.12"
"245.","Vishnu Chemicals","496.35","24.23","3341.17","0.06","33.76","-1.86","411.33","10.80","18.07","69.21","1.59","3.33","2.41","0.42","15.54","20.47","21.04","22.73"
"246.","Agarwal Indl.","382.00","9.77","571.37","0.82","2.80","-89.89","408.44","-24.66","16.90","57.20","4.27","0.91","1.12","0.63","20.09","39.02","22.77","20.26"
"247.","Sunita Tools Ltd","910.10","121.10","571.59","0.00","3.04","-10.85","15.26","-0.46","16.70","67.71","0.00","11.04","3.18","0.14","13.33","7.73","24.84","24.88"
"248.","Tejas Cargo","283.15","29.49","676.53","0.00","12.55","43.59","301.49","19.37","15.59","74.27","0.00","3.64","2.23","0.97","16.72","9.60","26.69","20.46"
"249.","WPIL","369.30","30.26","3607.01","0.53","75.56","73.31","538.72","41.17","15.56","70.80","14.80","2.41","3.18","0.39","10.04","12.23","26.01","20.10"
"250.","SKM Egg Prod.","150.65","10.29","793.36","0.49","30.01","298.94","203.71","50.80","13.07","57.43","11.41","2.32","1.33","0.51","11.80","14.69","28.52","31.48"
"251.","Sanstar","77.92","72.94","1420.03","0.00","13.67","-4.14","201.76","-8.31","11.76","70.38","0.00","2.19","2.31","0.03","9.63","1.07","20.04","26.34"
"252.","Cons. Finvest","209.97","10.75","679.56","0.53","11.96","-21.47","13.27","-6.29","7.72","74.89","0.00","0.65","1.67","0.00","11.80","19.55","20.19","26.75"
