"S.No.","Name","CMP Rs.","P/E","Mar Cap Rs.Cr.","Div Yld %","NP Qtr Rs.Cr.","Qtr Profit Var %","Sales Qtr Rs.Cr.","Qtr Sales Var %","ROCE %","Prom. Hold. %","Payout ratio %","CMP / BV","Ind PBV","Debt / Eq","ROE %","EPS 12M Rs.","ROE 3Yr %","ROCE 3Yr %"
"128.","I T D C","391.00","41.83","3353.57","0.69","28.01","35.11","184.78","28.74","30.54","87.03","30.50","9.91","2.47","0.00","24.21","9.27","20.70","30.35"
"129.","Persistent Systems","4723.80","41.48","74518.10","0.75","439.45","35.75","3778.21","23.38","30.44","30.29","38.96","10.41","3.44","0.06","24.08","110.76","24.38","29.97"
"130.","Mangal Electrica","218.60","13.59","603.96","0.00","13.39","-1.83","156.27","4.62","30.43","74.79","0.00","1.11","3.93","0.12","34.13","18.27","29.35","26.04"
"131.","Hero Motocorp","5066.50","18.40","101375.41","3.21","1275.15","22.49","12486.82","21.71","30.34","34.73","75.37","4.92","5.21","0.03","23.06","272.10","20.74","27.38"
"132.","Arkade","100.50","12.60","1865.92","0.98","40.30","-19.53","196.73","-12.42","30.30","71.14","0.00","1.97","2.28","0.18","25.75","7.98","31.59","33.14"
"133.","Master Trust","62.30","6.68","766.38","0.00","31.52","-10.33","136.72","-7.55","30.09","71.93","0.00","1.04","2.17","0.22","22.97","9.72","22.80","29.41"
"134.","Garuda Cons","151.95","13.33","1413.83","0.02","32.97","156.18","140.05","125.09","30.09","67.56","0.47","3.65","1.83","0.00","22.09","11.41","32.71","53.50"
"135.","KP Green Engg.","337.00","16.07","1685.00","0.11","58.31","112.55","532.07","102.80","30.04","66.61","2.72","4.37","5.67","0.53","25.08","20.86","25.77","34.53"
"136.","Hexaware Tech.","436.55","18.42","26673.86","2.66","291.60","14.35","3478.20","10.27","30.00","74.30","51.15","4.27","3.44","0.11","24.87","22.41","23.72","28.87"
"137.","Kothari Petroche","106.39","8.63","626.02","0.93","18.70","45.53","134.84","2.72","29.99","72.22","0.00","1.87","1.12","0.01","23.82","12.23","25.06","33.72"
"138.","Prostarm Info","130.15","23.34","766.26","0.00","15.96","104.88","159.34","110.80","29.95","72.82","0.00","2.78","3.93","0.06","30.00","6.01","32.95","36.04"
"139.","A B B","6038.40","76.67","127958.76","0.63","432.85","-18.35","3557.01","5.71","29.90","75.00","49.99","16.27","5.67","0.01","22.39","78.73","24.70","33.06"
"140.","Eicher Motors","6690.00","33.98","183516.26","1.03","1420.61","25.12","6114.04","22.94","29.81","49.06","40.54","8.42","5.21","0.02","24.10","195.35","23.32","29.43"
"141.","Schaeffler India","3937.70","51.47","61547.76","0.87","327.96","31.54","2643.06","26.93","29.79","74.13","45.73","11.13","2.91","0.01","22.22","76.53","20.52","27.40"
"142.","Polycab India","6792.25","38.96","102257.62","0.50","630.17","35.87","7636.13","46.12","29.72","61.50","26.06","9.61","3.12","0.02","21.44","174.48","21.61","29.40"
"143.","RNFI Services","250.00","24.17","626.50","0.00","9.52","59.43","257.84","5.56","29.45","65.10","0.00","4.60","2.60","0.27","25.18","9.15","29.81","27.86"
"144.","Volt.Transform.","8324.90","23.76","8422.43","1.19","99.08","34.99","630.32","30.36","29.11","30.00","31.10","5.13","5.67","0.00","21.68","350.21","21.85","28.58"
"145.","Bharat Coking","31.89","18.75","14851.20","0.00","-22.88","-105.38","2782.80","-24.55","28.92","90.00","0.00","","2.74","0.04","20.99","266.31","24.64","29.83"
"146.","Chandan Healthca","246.00","20.75","601.53","0.00","4.54","44.52","65.01","18.98","28.85","49.47","0.00","4.36","5.15","0.48","27.08","11.10","29.51","27.18"
"147.","SKF India","1464.45","20.15","7239.94","0.95","61.99","-14.54","576.64","3.21","28.82","52.58","12.67","2.64","4.92","0.00","21.43","98.99","22.59","30.82"
"148.","Yash Highvoltage","427.00","41.97","1219.10","0.22","14.02","119.41","100.14","75.53","28.50","57.94","13.34","7.67","3.93","0.17","22.56","10.17","28.19","40.56"
"149.","Elecon Engg.Co","379.05","20.64","8505.84","0.51","71.99","-33.06","551.74","4.32","28.46","59.27","10.81","3.86","5.67","0.11","22.96","21.46","22.81","28.23"
"150.","Concord Biotech","1018.00","33.59","10649.93","1.07","67.78","-5.20","278.13","13.89","28.35","44.08","24.54","5.92","3.02","0.00","21.35","30.13","20.72","27.34"
"151.","D-Link India","380.10","12.99","1349.55","5.27","26.69","0.72","395.21","19.25","28.34","51.02","68.10","2.85","2.96","0.02","21.31","29.26","22.42","29.99"
"152.","Gulf Oil Lubric.","864.50","11.59","4270.59","5.62","77.11","-5.60","997.92","10.28","28.30","67.11","65.33","2.59","1.27","0.29","25.46","71.49","23.82","26.28"
"153.","Dhanuka Agritech","937.55","15.97","4226.34","0.21","40.00","-27.33","409.92","-7.94","28.29","69.71","3.04","2.73","2.53","0.02","21.95","58.78","21.29","27.40"
"154.","L&T Technology","3085.65","25.56","32707.30","1.74","303.10","1.81","2923.50","10.20","28.29","73.58","46.03","5.33","2.61","0.10","22.16","118.74","25.33","32.74"
"155.","Z-Tech (India)","490.40","28.11","709.04","0.00","7.62","32.29","41.99","73.94","28.12","53.54","0.00","3.93","2.52","0.02","20.23","17.55","24.24","38.28"
"156.","Bajaj Auto","8777.85","27.47","245339.07","2.33","2749.82","27.83","16204.45","23.05","28.06","54.99","80.06","7.13","5.21","0.58","22.77","318.05","23.22","29.38"
"157.","Tinna Rubber","612.00","22.52","1102.55","0.64","12.81","56.99","139.06","13.35","28.05","67.58","14.17","4.06","3.14","0.38","31.20","26.98","31.06","28.08"
"158.","Advance Agrolife","89.05","19.56","572.45","0.00","3.01","8.27","132.64","17.20","28.00","69.89","0.00","3.14","2.53","0.47","29.11","6.30","33.60","33.70"
"159.","Newgen Software","420.60","18.43","5985.97","1.11","62.82","-3.38","400.28","5.03","27.97","53.52","22.24","3.76","3.44","0.03","22.50","21.34","21.78","26.11"
"160.","Amic Forging","1243.00","52.94","1336.10","0.00","12.40","-45.42","66.58","4.57","27.89","57.96","0.00","8.92","3.66","0.05","21.80","24.06","28.24","42.71"
"161.","Fiem Industries","1937.75","21.19","5100.15","1.54","63.37","34.77","690.07","16.35","27.80","54.52","38.53","4.69","2.91","0.06","20.99","92.48","20.39","27.02"
"162.","Likhitha Infra.","132.00","9.92","520.69","0.00","9.43","-45.43","111.40","-11.79","27.61","70.25","8.53","1.30","1.83","0.00","20.29","13.31","23.17","32.10"
"163.","Kirl. Brothers","1488.05","28.59","11816.46","0.46","125.40","14.50","1116.20","-2.45","27.59","65.95","13.39","5.48","5.78","0.10","21.62","50.26","20.73","25.53"
"164.","ASK Automotive","394.75","27.50","7782.21","0.37","79.92","21.29","1084.22","18.48","27.58","74.95","11.94","6.68","2.91","0.53","26.63","14.38","23.68","24.04"
"165.","Stylam Industrie","2196.95","26.46","3723.40","0.00","45.99","51.23","270.96","6.46","27.41","52.19","0.00","5.12","2.84","0.00","20.36","82.93","24.08","30.96"
"166.","HBL Engineering","625.60","21.22","17341.42","0.31","220.10","242.37","874.04","93.99","27.33","59.11","10.01","8.79","3.02","0.04","20.58","28.72","20.25","25.67"
"167.","Inventurus Knowl","1279.40","33.07","21962.58","0.00","183.33","41.37","814.95","24.01","27.20","63.72","0.00","9.80","2.61","0.34","32.87","38.66","36.97","35.65"
"168.","Jain Resource","440.10","44.48","15187.20","0.00","126.90","204.10","2676.21","55.22","27.20","73.59","0.00","11.26","6.55","0.90","38.98","10.11","46.02","25.08"
"169.","Vikran Engg.","57.05","19.80","1471.27","0.00","20.91","-35.48","266.46","0.48","27.15","56.17","0.00","1.35","1.83","0.27","20.49","3.53","27.65","32.34"
"170.","SML Mahindra","3844.40","35.08","5562.83","0.45","17.54","3209.43","539.27","62.53","27.12","58.97","21.42","12.53","7.88","0.57","36.38","109.52","33.74","20.04"
"171.","Torrent Pharma.","4213.95","61.81","142619.27","0.75","635.00","27.63","3303.00","17.59","27.05","68.31","56.67","16.87","3.02","0.33","26.52","67.13","23.78","23.34"
"172.","Beta Drugs Ltd","1067.80","25.12","1082.40","0.00","8.52","-20.45","87.27","-1.16","27.04","64.90","0.00","4.92","3.02","0.66","25.86","41.51","26.59","31.24"
"173.","Advait Energy","1553.90","36.97","1699.61","0.11","17.39","69.63","211.03","114.44","26.87","66.80","6.12","7.40","3.12","0.27","22.49","42.18","25.74","30.70"
"174.","TBO Tek","1017.65","47.31","11050.47","0.00","53.69","24.17","784.33","85.78","26.68","44.41","0.00","7.95","2.88","0.52","24.62","22.39","35.12","40.79"
"175.","Quality Power El","796.35","57.59","6167.29","0.12","62.76","169.18","283.99","291.22","26.60","73.91","11.70","13.13","5.67","0.08","22.06","13.79","23.20","28.68"
"176.","Orient Tech.","248.80","27.15","1139.63","0.63","-14.96","-66.19","198.23","-4.17","26.52","73.23","14.86","3.21","2.61","0.05","19.98","4.95","24.82","33.96"
"177.","Dynamic Cables","253.75","14.67","1229.59","0.09","22.42","41.90","298.77","18.80","26.37","68.18","1.87","3.02","3.12","0.19","22.07","17.29","20.47","24.78"
"178.","Blue Star","1621.55","62.39","33341.48","0.55","80.55","-2.00","2925.31","4.20","26.20","36.49","31.30","10.78","4.09","0.33","20.62","24.04","21.48","25.57"
"179.","Shanti Gold","175.55","9.93","1265.67","0.00","40.13","127.62","636.93","110.06","26.19","74.89","0.00","2.29","2.86","0.34","44.85","19.75","38.31","21.57"
